"Type","SKU","Name","Published","Visibility in catalog","In stock?","Stock","Backorders allowed?","Short description","Description","Images","Categories","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _doralashab_pages","Meta: _doralashab_sqc_source_id","Meta: _doralashab_sqc_source_url"
"simple","SQC-661778100-P","إدارة الجودة والتميز المؤسسي في الأوقاف","-1","hidden","0","0","0","<p>مرجع لتطوير أداء المؤسسات الوقفية من خلال الجودة والتميز المؤسسي. يتناول التخطيط والتطوير والشراكات وقياس الأداء، مع تطبيقات تساعد القائمين على الأوقاف على تحسين العمل واستدامة أثره المجتمعي.</p>","<p>مرجع لتطوير أداء المؤسسات الوقفية من خلال الجودة والتميز المؤسسي. يتناول التخطيط والتطوير والشراكات وقياس الأداء، مع تطبيقات تساعد القائمين على الأوقاف على تحسين العمل واستدامة أثره المجتمعي.</p>","https://cdn.salla.sa/vEbEA/c5cd72b0-cc0f-48b5-83c6-d4fc69cd1110-750.08x1000-zdz4iByM9iuMH2HjNtD5IoUzLunS7wTV6O2dAZ7X.jpg","إصدارات المجلس السعودي للجودة","المؤلف","عبدالله عبدالقادر تركستاني","1","0","251","661778100","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D9%82%D8%A7%D9%81/p661778100"
"simple","SQC-1824017480-P","في عمق الأزمة (المستقبل الغامض لمهنة الجودة)","-1","hidden","0","0","0","<p>يناقش محمد زايري مستقبل مهنة الجودة في بيئة تتغير بفعل التحول الرقمي والثورة الصناعية الرابعة، ويطرح أسئلة حول قدرة مفاهيمها وأدواتها على الاستجابة لتحديات الأعمال الجديدة.</p>","<p>يناقش محمد زايري مستقبل مهنة الجودة في بيئة تتغير بفعل التحول الرقمي والثورة الصناعية الرابعة، ويطرح أسئلة حول قدرة مفاهيمها وأدواتها على الاستجابة لتحديات الأعمال الجديدة.</p>","https://cdn.salla.sa/vEbEA/WrgZN1Nhxt4GKOxEXejHqRCH8hpFiRDj9anUiiUj.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","543","1824017480","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D9%81%D9%8A-%D8%B9%D9%85%D9%82-%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%BA%D8%A7%D9%85%D8%B6-%D9%84%D9%85%D9%87%D9%86%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9/p1824017480"
"simple","SQC-161403518-P","100 طريقة لقيادة التميز","-1","hidden","0","0","0","<p>يعرض محمد زايري مئة موضوع وسؤال في قيادة التميز، ويربط الأداء المستدام بقدرة المنظمة على التعلم والتكيف وبناء قدراتها في العصر الرقمي.</p>","<p>يعرض محمد زايري مئة موضوع وسؤال في قيادة التميز، ويربط الأداء المستدام بقدرة المنظمة على التعلم والتكيف وبناء قدراتها في العصر الرقمي.</p>","https://cdn.salla.sa/vEbEA/bRcgrQ9UYG5p5i7RH6fNOglv2c3DFmkNItrZbgQR.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","297","161403518","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-100-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2/p161403518"
"simple","SQC-639091500-P","من ثلاثية الجودة إلى رباعية التميز","-1","hidden","0","0","0","<p>يقدم نموذج رباعية التميز لمحمد زايري، انطلاقًا من ثلاثية الجودة لجوران. ويربط النموذج بين القيادة والقدرات المؤسسية والعملاء ومنظومة الأعمال المحيطة بالمنظمة.</p>","<p>يقدم نموذج رباعية التميز لمحمد زايري، انطلاقًا من ثلاثية الجودة لجوران. ويربط النموذج بين القيادة والقدرات المؤسسية والعملاء ومنظومة الأعمال المحيطة بالمنظمة.</p>","https://cdn.salla.sa/vEbEA/6IwHxFvW66M740TQNLPhfqgWvKsVtOUH93rstVQv.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","287","639091500","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D9%85%D9%86-%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D8%A5%D9%84%D9%89-%D8%B1%D8%A8%D8%A7%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2/p639091500"
"simple","SQC-1365091920-P","بناء القدرات المؤسسية","-1","hidden","0","0","0","<p>يتناول تحديد القدرات التي تحتاجها المنظمة لتنفيذ استراتيجيتها، وكيفية بنائها وتقييمها. ويستعين بمفاهيم وأدوات وتجارب عملية في تطوير القدرات المؤسسية.</p>","<p>يتناول تحديد القدرات التي تحتاجها المنظمة لتنفيذ استراتيجيتها، وكيفية بنائها وتقييمها. ويستعين بمفاهيم وأدوات وتجارب عملية في تطوير القدرات المؤسسية.</p>","https://cdn.salla.sa/vEbEA/lFHraNcHa3pw2WAB3vK7Ql2Io4VkKRcbrKPFCpnL.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","225","1365091920","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A8%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D9%82%D8%AF%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A%D8%A9/p1365091920"
"simple","SQC-1201482192-P","121 طريقة لتفسير مفهوم التميز المؤسسي","-1","hidden","0","0","0","<p>يعرض مفهوم التميز المؤسسي من خلال مئة وواحد وعشرين سؤالًا وجوابًا. يتناول معاني التميز وتطبيقاته، ومنها الانسجام الداخلي وبناء الشراكات ودور التقييم في تطوير المنظمة.</p>","<p>يعرض مفهوم التميز المؤسسي من خلال مئة وواحد وعشرين سؤالًا وجوابًا. يتناول معاني التميز وتطبيقاته، ومنها الانسجام الداخلي وبناء الشراكات ودور التقييم في تطوير المنظمة.</p>","https://cdn.salla.sa/vEbEA/utb48ZhCDhBGMsCDmu3OspqPTtCZy1F8YYbc5Dwj.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","","1201482192","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-121-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%84%D8%AA%D9%81%D8%B3%D9%8A%D8%B1-%D9%85%D9%81%D9%87%D9%88%D9%85-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A/p1201482192"
"simple","SQC-246033341-P","إدارة الجودة من البدايات حتى التميز","-1","hidden","0","0","0","<p>مدخل إلى أسس الجودة والتميز المؤسسي، يجمع المفاهيم الأساسية مع تجارب تطبيقية من قطاعات الأعمال والتعليم والصحة. يقدمه رضوان صالح الجبور للقارئ المهتم بالتأسيس المعرفي وتطوير ممارسته.</p>","<p>مدخل إلى أسس الجودة والتميز المؤسسي، يجمع المفاهيم الأساسية مع تجارب تطبيقية من قطاعات الأعمال والتعليم والصحة. يقدمه رضوان صالح الجبور للقارئ المهتم بالتأسيس المعرفي وتطوير ممارسته.</p>","https://cdn.salla.sa/vEbEA/JwjQCblIpRoQ5F57f9aDQYFpHogwxPsXiht33J49.jpg","إصدارات المجلس السعودي للجودة","المؤلف","رضوان صالح الجبور","1","0","","246033341","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AC%D9%88%D8%AF%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%8A%D8%A7%D8%AA-%D8%AD%D8%AA%D9%89-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2/p246033341"
"simple","SQC-576717039-P","الكفاءة الإدارية للمنظمات منهجيات إدارية وتطبيقات عملية","-1","hidden","0","0","0","<p>يتناول الكفاءة الإدارية للمنظمات وتهيئتها قبل مبادرات التطوير والتحول. يعرض أدوات وتطبيقات لتحسين العمليات والموارد البشرية والعناصر التنظيمية ورفع جودة الأداء.</p>","<p>يتناول الكفاءة الإدارية للمنظمات وتهيئتها قبل مبادرات التطوير والتحول. يعرض أدوات وتطبيقات لتحسين العمليات والموارد البشرية والعناصر التنظيمية ورفع جودة الأداء.</p>","https://cdn.salla.sa/vEbEA/dfSqtAZP3rMeoNzCvCSy4qBy2k95Jcg2b6FofSJz.jpg","إصدارات المجلس السعودي للجودة","المؤلف","عبدالله بن جابر الشهري","1","0","260","576717039","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%A7%D9%84%D9%83%D9%81%D8%A7%D8%A1%D8%A9-%D8%A7%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D9%84%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A7%D8%AA-%D9%85%D9%86%D9%87%D8%AC%D9%8A%D8%A7%D8%AA-%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D8%B9%D9%85%D9%84%D9%8A%D8%A9/p576717039"
"simple","SQC-1629257401-P","تحقيق التميز والإتقان في الحياة الشخصية","-1","hidden","0","0","0","<p>يتناول تطبيق مبادئ الجودة والإتقان في الحياة الشخصية، ويربط القيم الإسلامية بتحسين العادات والأداء. يقدم مدخلًا عمليًا للتقييم الذاتي والتطوير المستمر.</p>","<p>يتناول تطبيق مبادئ الجودة والإتقان في الحياة الشخصية، ويربط القيم الإسلامية بتحسين العادات والأداء. يقدم مدخلًا عمليًا للتقييم الذاتي والتطوير المستمر.</p>","https://cdn.salla.sa/vEbEA/G9Xhpq7LcXRyE0HhSqxRNZSrtC90WpOb759uQEaq.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد أحمد عيشوني","1","0","162","1629257401","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D9%88%D8%A7%D9%84%D8%A5%D8%AA%D9%82%D8%A7%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D9%8A%D9%80%D9%80%D8%A7%D8%A9-%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9/p1629257401"
"simple","SQC-661615575-P","خبراء التميز المؤسسي","-1","hidden","0","0","0","<p>كتاب «خبراء التميز المؤسسي» لمحمد زايري، من إصدارات المجلس السعودي للجودة. النسخة الورقية المعرّفة في صفحة المجلس تقع في 338 صفحة.</p>","<p>كتاب «خبراء التميز المؤسسي» لمحمد زايري، من إصدارات المجلس السعودي للجودة. النسخة الورقية المعرّفة في صفحة المجلس تقع في 338 صفحة.</p>","https://cdn.salla.sa/vEbEA/DPv1ou1D7zECpuwdzKqzPsxnVEVoWYcWKHNlnUab.jpg","إصدارات المجلس السعودي للجودة","المؤلف","محمد زايري","1","0","338","661615575","https://sqc-store.com/ar/%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%D9%82%D9%8A-%D8%AE%D8%A8%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D9%8A/p661615575"
